data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:41:00.677;101;EMEI JP CANTINHO AMIGO                                  ;0;0;0;72;0;72;0;0;0;0;0;0;0;72
2022-05-01 01:41:00.678;102;EMEI JP CIRANDINHA                                      ;0;0;0;40;0;40;0;0;0;0;0;0;0;40
2022-05-01 01:41:00.679;103;EMEI JP GIRAFINHA                                       ;0;0;0;73;0;73;0;0;0;0;0;0;0;73
2022-05-01 01:41:00.680;104;EMEI JP MEU AMIGUINHO                                   ;14;0;14;42;0;42;0;0;0;0;0;0;0;56
2022-05-01 01:41:00.681;105;EMEI JP PASSARINHO DOURADO                              ;0;0;0;0;39;39;0;0;0;0;0;0;0;39
2022-05-01 01:41:00.683;106;EMEI JP PATINHO FEIO                                    ;0;0;0;56;0;56;0;0;0;0;0;0;0;56
2022-05-01 01:41:00.684;107;EMEI JP PICA-PAU AMARELO                                ;0;0;0;57;0;57;0;0;0;0;0;0;0;57
2022-05-01 01:41:00.685;108;EMEI BAIRRO CAVALHADA                                   ;0;37;37;0;40;40;0;0;0;0;0;0;0;77
2022-05-01 01:41:00.686;109;EMEI ÉRICO VERÍSSIMO                                    ;0;95;95;0;86;86;0;0;0;0;0;0;0;181
2022-05-01 01:41:00.687;110;EMEI JARDIM BENTO GONÇALVES                             ;0;40;40;0;42;42;0;0;0;0;0;0;0;82
2022-05-01 01:41:00.688;111;EMEI DO JARDIM SALOMONI                                 ;0;57;57;0;43;43;0;0;0;0;0;0;0;100
2022-05-01 01:41:00.689;112;EMEI DA VILA MAX GEISS                                  ;0;56;56;0;35;35;0;0;0;0;0;0;0;91
2022-05-01 01:41:00.690;113;EMEI MARIA HELENA CAVALHEIRO GUSMÃO                     ;0;24;24;0;58;58;0;0;0;0;0;0;0;82
2022-05-01 01:41:00.691;115;EMEI VALE VERDE                                         ;0;11;11;0;45;45;0;0;0;0;0;0;0;56
2022-05-01 01:41:00.692;116;EMEI DA VILA ELIZABETH                                  ;0;57;57;0;42;42;0;0;0;0;0;0;0;99
2022-05-01 01:41:00.693;117;EMEI DA VILA FLORESTA                                   ;0;57;57;0;42;42;0;0;0;0;0;0;0;99
2022-05-01 01:41:00.695;118;EMEI MARIA MARQUES FERNANDES                            ;0;55;55;0;62;62;0;0;0;0;0;0;0;117
2022-05-01 01:41:00.696;119;EMEI VILA NOVA                                          ;0;54;54;0;40;40;0;0;0;0;0;0;0;94
2022-05-01 01:41:00.697;120;EMEI DOM LUIZ DE NADAL                                  ;0;75;75;0;88;88;0;0;0;0;0;0;0;163
2022-05-01 01:41:00.698;121;EMEI FLORÊNCIA VURLOD SOCIAS                            ;0;104;104;0;84;84;0;0;0;0;0;0;0;188
2022-05-01 01:41:00.699;122;EMEI DA VILA NOVA RESTINGA                              ;0;102;102;0;83;83;0;0;0;0;0;0;0;185
2022-05-01 01:41:00.700;123;EMEI DA VILA DA PÁSCOA                                  ;0;0;0;0;43;43;0;0;0;0;0;0;0;43
2022-05-01 01:41:00.701;124;EMEI DA VILA TRONCO                                     ;0;49;49;0;52;52;0;0;0;0;0;0;0;101
2022-05-01 01:41:00.702;125;EMEI DR WALTER SILBER                                   ;0;39;39;0;102;102;0;0;0;0;0;0;0;141
2022-05-01 01:41:00.704;126;EMEI DOS MUNICIPÁRIOS TIO BARNABÉ                       ;0;72;72;0;39;39;0;0;0;0;0;0;0;111
2022-05-01 01:41:15.868;127;EMEI PARQUE DOS MAIAS II                                ;0;58;58;0;44;44;0;0;0;0;0;0;0;102
2022-05-01 01:41:15.869;128;EMEI DA VILA NOVA SÃO CARLOS                            ;0;52;52;0;58;58;0;0;0;0;0;0;0;110
2022-05-01 01:41:15.870;129;EMEI DA VILA MAPA II                                    ;0;57;57;0;84;84;0;0;0;0;0;0;0;141
2022-05-01 01:41:15.871;130;EMEI ILHA DA PINTADA                                    ;0;20;20;0;84;84;0;0;0;0;0;0;0;104
2022-05-01 01:41:15.872;131;EMEI JARDIM CAMAQUÃ                                     ;0;40;40;0;42;42;0;0;0;0;0;0;0;82
2022-05-01 01:41:15.873;132;EMEI PADRE ÂNGELO COSTA                                 ;0;37;37;0;88;88;0;0;0;0;0;0;0;125
2022-05-01 01:41:15.875;133;EMEI PROTÁSIO ALVES                                     ;0;35;35;0;75;75;0;0;0;0;0;0;0;110
2022-05-01 01:41:15.876;134;EMEI NOVA GLEBA                                         ;0;48;48;0;86;86;0;0;0;0;0;0;0;134
2022-05-01 01:41:15.877;135;EMEI DA VILA SANTA ROSA                                 ;0;51;51;0;83;83;0;0;0;0;0;0;0;134
2022-05-01 01:41:15.878;136;EMEI HUMAITÁ                                            ;0;58;58;0;43;43;0;0;0;0;0;0;0;101
2022-05-01 01:41:15.879;137;EMEI PONTA GROSSA                                       ;0;73;73;0;77;77;0;0;0;0;0;0;0;150
2022-05-01 01:41:15.880;138;EMEI DA VILA VALNERI ANTUNES                            ;0;68;68;0;142;142;0;0;0;0;0;0;0;210
2022-05-01 01:41:15.881;139;EMEI OSMAR DOS SANTOS FREITAS                           ;0;73;73;0;43;43;0;0;0;0;0;0;0;116
